order_id,amount,customer_age,quantity,region,membership,channel,category,amount_log,is_premium,amount_class,membership_ord,region_경기,region_대구,region_부산,region_서울,ch_app,ch_web,cat_beauty,cat_electronics,cat_fashion,cat_food,cat_living,customer_age_scaled,amount_scaled,quantity_scaled
1,9900.0,44.0,3,부산,vip,web,electronics,9.200391041122515,1,low,4,0,0,1,0,0,1,0,1,0,0,0,0.10714285714285714,-0.6666666666666666,0.5
2,49900.0,29.0,3,경기,vip,web,food,10.817796321618971,1,mid,4,1,0,0,0,0,1,0,0,0,1,0,-0.42857142857142855,0.6666666666666666,0.5
3,49900.0,27.0,3,대구,vip,app,fashion,10.817796321618971,1,mid,4,0,1,0,0,1,0,0,0,1,0,0,-0.5,0.6666666666666666,0.5
4,29900.0,32.0,3,부산,gold,app,electronics,10.305647203635566,1,low,3,0,0,1,0,1,0,0,1,0,0,0,-0.32142857142857145,0.0,0.5
5,29900.0,47.0,3,서울,gold,web,fashion,10.305647203635566,1,low,3,0,0,0,1,0,1,0,0,1,0,0,0.21428571428571427,0.0,0.5
6,249900.0,28.0,2,서울,silver,app,fashion,12.428820118415677,0,high,2,0,0,0,1,1,0,0,0,1,0,0,-0.4642857142857143,7.333333333333333,0.0
7,9900.0,65.0,2,서울,silver,web,fashion,9.200391041122515,0,low,2,0,0,0,1,0,1,0,0,1,0,0,0.8571428571428571,-0.6666666666666666,0.0
8,49900.0,41.0,2,경기,vip,web,electronics,10.817796321618971,1,mid,4,1,0,0,0,0,1,0,1,0,0,0,0.0,0.6666666666666666,0.0
9,19900.0,62.0,2,서울,basic,app,food,9.898525260706313,0,low,1,0,0,0,1,1,0,0,0,0,1,0,0.75,-0.3333333333333333,0.0
10,9900.0,52.0,3,대구,basic,app,food,9.200391041122515,0,low,1,0,1,0,0,1,0,0,0,0,1,0,0.39285714285714285,-0.6666666666666666,0.5
11,29900.0,33.0,2,서울,silver,app,electronics,10.305647203635566,0,low,2,0,0,0,1,1,0,0,1,0,0,0,-0.2857142857142857,0.0,0.0
12,249900.0,27.0,2,경기,vip,app,beauty,12.428820118415677,1,high,4,1,0,0,0,1,0,1,0,0,0,0,-0.5,7.333333333333333,0.0
13,49900.0,55.0,1,서울,vip,app,fashion,10.817796321618971,1,mid,4,0,0,0,1,1,0,0,0,1,0,0,0.5,0.6666666666666666,-0.5
14,49900.0,33.0,3,대구,gold,app,electronics,10.817796321618971,1,mid,3,0,1,0,0,1,0,0,1,0,0,0,-0.2857142857142857,0.6666666666666666,0.5
15,49900.0,28.0,2,대구,gold,app,living,10.817796321618971,1,mid,3,0,1,0,0,1,0,0,0,0,0,1,-0.4642857142857143,0.6666666666666666,0.0
