customer_id,age,region,favorite_team,join_date,membership_tier,season_ticket_yn,purchase_count,total_spent,last_purchase_date,sns_follow_yn,referral_source,attended_games,favorite_seat_section
KBOFAN0002254,42.0,Seoul City,doosan bears,12/31/2018,,1,5.0,213732.0,2025-03-08,1.0,SNS,13,Outfield
KBOFAN0000173,62.0, Seoul, Doosan Bears ,2022-12-06,Bronze,0,5.0,155392.0,2025.08.07,,Advertisement,11,Infield
KBOFAN0001339,16.0,Busan City,SSGLanders,2022-03-16,Bronze,Y,7.0,355804.0,2024.10.22,0.0,Offline Event,11,Family Zone
KBOFAN0003440,61.0,Incheon-si,DoosanBears,2020-04-16,VIP,N,5.0,306801.0,2025-10-13,1.0,Club Website,6,Premium Box
KBOFAN0000214,32.0,SEOUL,KIA Tigers,09/08/2017,Silver,Yes,5.0,200056.0,2025-03-24,1.0,Advertisement,7,Outfield
KBOFAN0000861,31.0,Incheon City,nc dinos,2015-02-08,Gold,Y,5.0,123844.0,12/18/2023,1.0,SNS,12,
KBOFAN0000474,44.0,Cheongju-si,hanwha eagles,2015-09-23,Silver,n,9.0,558809.0,2024-03-09,0.0,SNS,11,Table Seat
KBOFAN0002714,68.0,, Lotte Giants ,03/10/2018,VIP,n,3.0,124253.0,05/08/2025,0.0,Advertisement,8,Premium Box
KBOFAN0004459,53.0,Cheongju , Kiwoom Heroes ,02-01-2019,Bronze,1,8.0,266244.0,01-10-2023,,SNS,10,Premium Box
KBOFAN0001194,72.0,GWANGJU,Lotte Giants,2016.09.21,Gold,N,10.0,584187.0,03-11-2023,1.0,Club Website,13,Family Zone
KBOFAN0004562,72.0, Busan,HanwhaEagles,04/03/2015,VIP,n,2.0,128894.0,08/02/2025,1.0,Friend Referral,3,Outfield
KBOFAN0000079,40.0,Daegu City,LotteGiants,10-03-2021,Bronze,No,6.0,166301.0,2025.02.01,1.0,SNS,8,Infield
KBOFAN0002311,49.0,incheon,DoosanBears,2021-02-28,Silver,0,4.0,8050.0,2025.06.15,0.0,Offline Event,10,Table Seat
KBOFAN0003956,21.0,SEOUL,hanwha eagles,2024.04.29,Silver,1,7.0,387961.0,2025-08-31,,Club Website,6,Outfield
KBOFAN0003774,19.0, Cheongju,Hanwha Eagles,2023.03.06,Bronze,N,4.0,64930.0,09-05-2023,1.0,Club Website,7,Outfield
KBOFAN0003568,62.0, Cheongju, Lotte Giants ,2023-07-20,VIP,Yes,4.0,169423.0,04/12/2024,0.0,Friend Referral,9,Infield
KBOFAN0002979,37.0,Gwangju-si,Kiwoom Heroes,11-10-2019,Bronze,No,6.0,132926.0,25-01-2023,0.0,SNS,12,Family Zone
KBOFAN0003724,75.0,Daejeon, Kiwoom Heroes ,25-05-2024,Gold,Y,6.0,78313.0,10/29/2025,0.0,Advertisement,13,Outfield
KBOFAN0003565,64.0,gwangju,Doosan Bears,2015-02-07,Silver,No,4.0,116274.0,2023-05-06,,Advertisement,10,Table Seat
KBOFAN0002596,65.0, Seoul,Kiwoom Heroes,06/08/2024,Silver,Y,5.0,206212.0,2024-08-30,0.0,SNS,11,Family Zone
KBOFAN0003966,70.0,daejeon,SSGLanders,02/04/2024,Silver,No,3.0,141067.0,2024-04-11,1.0,Advertisement,10,Table Seat
KBOFAN0002380,25.0,Jeju , SSG Landers ,2019.11.13,Gold,n,6.0,291976.0,2023.09.06,0.0,Friend Referral,14,Outfield
KBOFAN0003631,57.0, Incheon,KTWiz,2017-01-16,Silver,Y,6.0,98094.0,2025.01.29,0.0,Advertisement,7,Family Zone
KBOFAN0004833,40.0,Daegu ,nc dinos,2016-12-11,Bronze,No,8.0,291186.0,2023-12-02,0.0,SNS,9,Table Seat
KBOFAN0001678,58.0,Suwon ,KIA TIGERS,28-02-2015,Gold,Yes,7.0,185366.0,2023-03-13,0.0,SNS,10,Premium Box
KBOFAN0000666,64.0,Cheongju City,kia tigers,19-05-2019,Bronze,Yes,2.0,39490.0,2024-02-03,0.0,SNS,5,Infield
KBOFAN0004486,47.0,Daejeon City,Doosan Bears,2021-03-02,Silver,n,3.0,88289.0,2023.04.28,1.0,SNS,14,Table Seat
KBOFAN0002537,25.0,Incheon ,SAMSUNG LIONS,03-04-2019,Gold,Y,7.0,152239.0,06-11-2023,0.0,Club Website,12,Table Seat
KBOFAN0003414,62.0,Daegu City,KT WIZ,15-02-2020,Silver,No,,235995.0,09-04-2025,1.0,SNS,12,Premium Box
KBOFAN0003502,24.0,Suwon ,lg twins,2021.12.29,VIP,n,7.0,290059.0,2025-09-10,1.0,Advertisement,10,Infield
KBOFAN0004581,18.0,Seoul City,ssg landers,2022-04-17,Silver,y,4.0,151620.0,07/05/2024,0.0,,13,Outfield
KBOFAN0000276,57.0,Changwon ,lg twins,2021-01-15,Silver,1,7.0,301574.0,12/02/2025,1.0,Friend Referral,15,Table Seat
KBOFAN0003934,30.0,Gwangju , SSG Landers ,2020-08-02,Bronze,Y,8.0,378069.0,2025-12-28,0.0,Club Website,10,Table Seat
KBOFAN0000162,41.0,Seoul,SSG Landers,2022.06.25,Silver,Yes,8.0,343438.0,2024.05.04,0.0,Advertisement,6,Outfield
KBOFAN0001311,67.0,Changwon-si,ssg landers,2023-11-28,VIP,n,4.0,73255.0,07/04/2025,1.0,Friend Referral,5,Premium Box
KBOFAN0003811,25.0,busan,LG TWINS,2021-01-13,Silver,n,7.0,357079.0,2025.06.14,0.0,Club Website,10,Family Zone
KBOFAN0003442,36.0,Incheon-si,DOOSAN BEARS,2018.08.22,Gold,Yes,2.0,76038.0,2025-04-29,0.0,SNS,10,Infield
KBOFAN0004244,72.0,Gwangju ,lotte giants,25-06-2020,VIP,Yes,3.0,108873.0,2025-01-01,0.0,Friend Referral,14,Infield
KBOFAN0004962,41.0,daegu, Lotte Giants ,2017-08-07,Silver,Y,3.0,70123.0,06/08/2023,1.0,Advertisement,5,Infield
KBOFAN0000665,39.0, Gwangju,SSGLanders,2022-03-10,Gold,1,6.0,161305.0,2023.10.13,0.0,Offline Event,12,Infield
KBOFAN0004275,68.0,Changwon City,DOOSAN BEARS,01/05/2022,Silver,n,9.0,499248.0,05/03/2024,0.0,Club Website,14,Family Zone
KBOFAN0004738,73.0,Jeju-si,Lotte Giants,2022-06-15,Bronze,1,9.0,3475145.834,04/29/2023,,Friend Referral,7,Family Zone
KBOFAN0002807,70.0,Changwon , Samsung Lions ,2023-03-12,VIP,n,7.0,252605.0,2023.03.30,1.0,Friend Referral,11,Outfield
KBOFAN0002706,50.0,Daejeon-si,LOTTE GIANTS,2020-02-23,Silver,0,5.0,114652.0,2025-12-06,0.0,Offline Event,10,Family Zone
KBOFAN0002725,75.0,Cheongju-si,KT Wiz,22-03-2016,Silver,Y,4.0,123925.0,2024.10.24,0.0,Club Website,18,Outfield
KBOFAN0002417,30.0,Daejeon,Lotte Giants,2019-12-10,Bronze,N,1.0,4012.0,2023-08-07,0.0,Friend Referral,8,Table Seat
KBOFAN0004741,51.0,Daejeon ,DoosanBears,2017.12.13,VIP,1,2.0,121885.0,2025-03-10,1.0,Friend Referral,9,Table Seat
KBOFAN0002424,32.0, Busan,NCDinos,2017-08-11,Silver,1,8.0,255564.0,2024.11.21,1.0,Friend Referral,9,Family Zone
